Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
tfn,"(np.float64(76.93), np.float64(4.46))","(np.float64(77.63), np.float64(3.93))","(np.float64(81.52), np.float64(1.68))","(np.float64(81.53), np.float64(1.49))","(np.float64(53.22), np.float64(0.54))","(np.float64(51.89), np.float64(0.54))","(np.float64(57.24), np.float64(0.42))","(np.float64(71.84), np.float64(0.68))","(np.float64(57.23), np.float64(0.4))"
tfn,"(np.float64(88.46), np.float64(0.0))","(np.float64(83.04), np.float64(0.0))","(np.float64(47.38), np.float64(0.0))","(np.float64(30.47), np.float64(0.0))","(np.float64(78.07), np.float64(0.0))","(np.float64(78.07), np.float64(0.0))","(np.float64(21.95), np.float64(0.0))","(np.float64(nan), np.float64(nan))","(np.float64(23.37), np.float64(0.0))"
